"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"b_spatial_1",0.0134053814762362,0.007009064476557,1.91257785130566,0.00758193366542892,1.76806894755098
"b_temporal_1",0.0406562113834413,0.0179705585709551,2.26237883607868,0.0193641949653989,2.09955598237305
"b_drtpattern_1",0.0266553734925467,0.118023802814611,0.225847438032617,0.126360686491018,0.21094672902431
"b_waiting_1",-0.00663314653137797,0.00194455997846767,-3.41112982105337,0.00227610140877145,-2.91425790863961
"b_discount_1",0.00185789105293393,0.00202673687442179,0.916690803024925,0.00211109569772764,0.880060082038792
"b_compensation_1",-0.0148222776043571,0.0714579533058528,-0.207426562315815,0.0707453131724309,-0.209516036323566
"b_price_1",-0.0311121750660042,0.00366042551513641,-8.4996061079103,0.00511921853298108,-6.07752430679816
"b_spatial_2",0.0143348798989088,0.00249072191374985,5.75531126930473,0.0025646348316821,5.58944287967373
"b_temporal_2",0.0843750108383227,0.00703354874030918,11.9960796396804,0.00785031207505817,10.7479817402925
"b_drtpattern_2",0.209892205165169,0.0404701031038725,5.18635212335509,0.0459893944815835,4.56392626019941
"b_waiting_2",-0.00784418556698905,0.000685758885294304,-11.4386933005215,0.000785866562752334,-9.98157440305951
"b_discount_2",0.00488214936266322,0.000778070738656076,6.27468573242571,0.000838178625676878,5.82471231441937
"b_compensation_2",0.0310001636511009,0.0269979551836508,1.14824117012661,0.0267618702806747,1.15837059689684
"b_price_2",-0.00573936492577963,0.000649236261247657,-8.84017925115599,0.000766271845375287,-7.48998538889124
"delta_1",0,NA,NA,NA,NA
"delta_2",0.571235579240135,0.150328781429934,3.79990826644451,0.200361284184685,2.85102774003781
