RID,DESIGN_ROW,SCENARIO,SEQ,pref1,a1_x1,a1_x2,a1_x3,a1_x4,a1_x5,a1_x6,a1_x7,a1_x8,a2_x1,a3_x2,a2_x3,a2_x4,a2_x5,a2_x6,a2_x7,a2_x8
,,,,,,,,,,,,,,,,,,,,
1494,15,1,1,1,1,75,17,1,60,0,2,250,1,85,24,2,120,75,1,100
,,,,,,,,,,,,,,,,,,,,
1494,16,2,2,1,1,95,24,1,30,25,2,100,1,75,14,2,60,0,3,200
,,,,,,,,,,,,,,,,,,,,
1494,28,3,3,2,1,75,24,1,120,0,1,250,1,85,17,2,60,50,2,150
,,,,,,,,,,,,,,,,,,,,
1494,4,4,4,2,1,95,24,1,120,25,3,150,1,75,17,2,120,75,2,100
,,,,,,,,,,,,,,,,,,,,
1494,29,5,5,2,1,85,24,1,60,25,3,100,1,95,17,2,120,50,1,150
,,,,,,,,,,,,,,,,,,,,
1489,12,1,1,1,1,95,14,2,60,0,2,250,1,85,17,1,120,0,1,100
,,,,,,,,,,,,,,,,,,,,
1489,1,2,2,1,1,95,17,2,30,0,2,300,1,75,14,1,60,0,1,250
,,,,,,,,,,,,,,,,,,,,
1489,2,3,3,1,1,95,24,1,60,0,1,150,1,75,17,2,120,25,2,250
,,,,,,,,,,,,,,,,,,,,
1489,3,4,4,1,1,75,17,1,30,50,3,200,1,95,14,2,120,25,2,150
,,,,,,,,,,,,,,,,,,,,
1489,14,5,5,1,1,85,17,2,120,0,3,300,1,95,14,1,120,50,2,200
,,,,,,,,,,,,,,,,,,,,
1488,12,1,1,1,1,95,14,2,60,0,2,250,1,85,17,1,120,0,1,100
,,,,,,,,,,,,,,,,,,,,
1488,27,2,2,2,1,75,24,2,30,50,3,300,1,95,17,1,60,25,1,100
,,,,,,,,,,,,,,,,,,,,
1488,26,3,3,2,1,85,17,2,60,50,3,150,1,75,14,1,120,0,2,100
,,,,,,,,,,,,,,,,,,,,
1488,25,4,4,1,1,85,14,2,120,0,1,200,1,75,17,1,120,25,3,300
,,,,,,,,,,,,,,,,,,,,
1488,11,5,5,2,1,75,14,1,60,50,1,300,1,85,24,2,120,25,3,200
,,,,,,,,,,,,,,,,,,,,
1495,24,1,1,1,1,85,24,2,60,50,2,250,1,95,14,1,120,25,3,150
,,,,,,,,,,,,,,,,,,,,
1495,21,2,2,1,1,85,14,2,30,25,3,200,1,75,24,1,120,75,2,150
,,,,,,,,,,,,,,,,,,,,
1495,5,3,3,2,1,75,14,2,30,25,1,150,1,95,17,1,60,75,3,200
,,,,,,,,,,,,,,,,,,,,
1495,19,4,4,2,1,85,17,1,120,0,2,200,1,95,24,2,60,50,1,100
,,,,,,,,,,,,,,,,,,,,
1495,7,5,5,2,1,85,14,1,120,50,2,300,1,75,17,2,60,75,3,250
,,,,,,,,,,,,,,,,,,,,
1490,17,1,1,1,1,95,17,1,120,50,1,250,1,85,14,2,60,75,2,300
,,,,,,,,,,,,,,,,,,,,
1490,22,2,2,2,1,85,17,1,30,0,1,150,1,95,24,2,120,50,3,200
,,,,,,,,,,,,,,,,,,,,
1490,6,3,3,1,1,75,24,2,60,0,2,100,1,85,14,1,120,75,1,250
,,,,,,,,,,,,,,,,,,,,
1490,30,4,4,1,1,95,14,1,120,0,3,100,1,75,24,2,120,25,1,200
,,,,,,,,,,,,,,,,,,,,
1490,8,5,5,1,1,75,14,1,30,25,3,150,1,95,17,2,120,0,1,300
,,,,,,,,,,,,,,,,,,,,
1500,18,1,1,1,1,75,17,1,60,25,2,200,1,85,24,2,120,0,3,250
,,,,,,,,,,,,,,,,,,,,
1500,20,2,2,1,1,75,24,2,120,0,1,200,1,85,14,1,60,50,3,250
,,,,,,,,,,,,,,,,,,,,
1500,9,3,3,1,1,95,14,2,30,0,3,100,1,85,24,1,60,25,1,300
,,,,,,,,,,,,,,,,,,,,
1500,17,4,4,1,1,95,17,1,120,50,1,250,1,85,14,2,60,75,2,300
,,,,,,,,,,,,,,,,,,,,
1500,4,5,5,1,1,95,24,1,120,25,3,150,1,75,17,2,120,75,2,100
,,,,,,,,,,,,,,,,,,,,
1492,10,1,1,1,1,95,24,2,30,0,2,250,1,75,14,1,120,50,3,300
,,,,,,,,,,,,,,,,,,,,
1492,23,2,2,1,1,85,17,2,120,50,1,100,1,95,24,1,120,0,2,300
,,,,,,,,,,,,,,,,,,,,
1492,9,3,3,1,1,95,14,2,30,0,3,100,1,85,24,1,60,25,1,300
,,,,,,,,,,,,,,,,,,,,
1492,4,4,4,2,1,95,24,1,120,25,3,150,1,75,17,2,120,75,2,100
,,,,,,,,,,,,,,,,,,,,
1492,14,5,5,1,1,85,17,2,120,0,3,300,1,95,14,1,120,50,2,200
,,,,,,,,,,,,,,,,,,,,
1493,18,1,1,1,1,75,17,1,60,25,2,200,1,85,24,2,120,0,3,250
,,,,,,,,,,,,,,,,,,,,
1493,10,2,2,1,1,95,24,2,30,0,2,250,1,75,14,1,120,50,3,300
,,,,,,,,,,,,,,,,,,,,
1493,6,3,3,1,1,75,24,2,60,0,2,100,1,85,14,1,120,75,1,250
,,,,,,,,,,,,,,,,,,,,
1493,13,4,4,2,1,95,14,2,60,25,1,300,1,85,24,1,120,50,2,150
,,,,,,,,,,,,,,,,,,,,
1493,1,5,5,2,1,95,17,2,30,0,2,300,1,75,14,1,60,0,1,250
,,,,,,,,,,,,,,,,,,,,
1496,20,1,1,2,1,75,24,2,120,0,1,200,1,85,14,1,60,50,3,250
,,,,,,,,,,,,,,,,,,,,
1496,3,2,2,1,1,75,17,1,30,50,3,200,1,95,14,2,120,25,2,150
,,,,,,,,,,,,,,,,,,,,
1496,23,3,3,2,1,85,17,2,120,50,1,100,1,95,24,1,120,0,2,300
,,,,,,,,,,,,,,,,,,,,
1496,30,4,4,2,1,95,14,1,120,0,3,100,1,75,24,2,120,25,1,200
,,,,,,,,,,,,,,,,,,,,
1496,25,5,5,2,1,85,14,2,120,0,1,200,1,75,17,1,120,25,3,300
,,,,,,,,,,,,,,,,,,,,
1499,8,1,1,1,1,75,14,1,30,25,3,150,1,95,17,2,120,0,1,300
,,,,,,,,,,,,,,,,,,,,
1499,14,2,2,2,1,85,17,2,120,0,3,300,1,95,14,1,120,50,2,200
,,,,,,,,,,,,,,,,,,,,
1499,15,3,3,2,1,75,17,1,60,0,2,250,1,85,24,2,120,75,1,100
,,,,,,,,,,,,,,,,,,,,
1499,13,4,4,2,1,95,14,2,60,25,1,300,1,85,24,1,120,50,2,150
,,,,,,,,,,,,,,,,,,,,
1499,28,5,5,2,1,75,24,1,120,0,1,250,1,85,17,2,60,50,2,150
,,,,,,,,,,,,,,,,,,,,
1498,24,1,1,2,1,85,24,2,60,50,2,250,1,95,14,1,120,25,3,150
,,,,,,,,,,,,,,,,,,,,
1498,11,2,2,2,1,75,14,1,60,50,1,300,1,85,24,2,120,25,3,200
,,,,,,,,,,,,,,,,,,,,
1498,16,3,3,1,1,95,24,1,30,25,2,100,1,75,14,2,60,0,3,200
,,,,,,,,,,,,,,,,,,,,
1498,10,4,4,1,1,95,24,2,30,0,2,250,1,75,14,1,120,50,3,300
,,,,,,,,,,,,,,,,,,,,
1498,23,5,5,1,1,85,17,2,120,50,1,100,1,95,24,1,120,0,2,300
,,,,,,,,,,,,,,,,,,,,
1504,9,1,1,1,1,95,14,2,30,0,3,100,1,85,24,1,60,25,1,300
,,,,,,,,,,,,,,,,,,,,
1504,26,2,2,1,1,85,17,2,60,50,3,150,1,75,14,1,120,0,2,100
,,,,,,,,,,,,,,,,,,,,
1504,21,3,3,2,1,85,14,2,30,25,3,200,1,75,24,1,120,75,2,150
,,,,,,,,,,,,,,,,,,,,
1504,22,4,4,1,1,85,17,1,30,0,1,150,1,95,24,2,120,50,3,200
,,,,,,,,,,,,,,,,,,,,
1504,17,5,5,1,1,95,17,1,120,50,1,250,1,85,14,2,60,75,2,300
,,,,,,,,,,,,,,,,,,,,
1497,22,1,1,1,1,85,17,1,30,0,1,150,1,95,24,2,120,50,3,200
,,,,,,,,,,,,,,,,,,,,
1497,5,2,2,2,1,75,14,2,30,25,1,150,1,95,17,1,60,75,3,200
,,,,,,,,,,,,,,,,,,,,
